Date,NtaCode,Thefts,TransitOfPeople,MarketTurnover
2020-01-01,BK88,0.0,3453,6907.46
2020-01-02,BK88,1.0,33843,47380.86
2020-01-03,BK88,2.0,4846,4604.47
2020-01-04,BK88,0.0,3685,7370.2
2020-01-05,BK88,0.0,14955,29910.24
2020-01-06,BK88,0.0,13650,27301.09
2020-01-07,BK88,0.0,14361,28722.34
2020-01-08,BK88,0.0,6392,12785.02
2020-01-09,BK88,2.0,4399,4179.39
2020-01-10,BK88,1.0,27005,37808.08
2020-01-11,BK88,2.0,4516,4290.78
2020-01-12,BK88,1.0,28133,39386.45
2020-01-13,BK88,2.0,4452,4230.08
2020-01-14,BK88,0.0,4433,8866.07
2020-01-15,BK88,1.0,26650,37311.17
2020-01-16,BK88,0.0,2637,5275.86
2020-01-17,BK88,0.0,8111,16222.02
2020-01-18,BK88,1.0,34060,47684.17
2020-01-19,BK88,0.0,10217,20435.14
2020-01-20,BK88,2.0,4416,4196.04
2020-01-21,BK88,1.0,31460,44044.89
2020-01-22,BK88,0.0,5390,10781.38
2020-01-23,BK88,0.0,7998,15996.63
2020-01-24,BK88,0.0,8426,16852.12
2020-01-25,BK88,2.0,4667,4433.88
2020-01-26,BK88,1.0,32907,46070.03
2020-01-27,BK88,1.0,28573,40002.46
2020-01-28,BK88,0.0,4224,8448.96
2020-01-29,BK88,1.0,26619,37267.15
2020-01-30,BK88,2.0,4533,4306.64
2020-01-31,BK88,1.0,27825,38955.85
2020-01-01,QN51,1.0,13043,18261.54
2020-01-02,QN51,2.0,6366,6048.08
2020-01-03,QN51,2.0,6635,6303.81
2020-01-04,QN51,0.0,1320,2641.89
2020-01-05,QN51,1.0,16167,22635.03
2020-01-06,QN51,1.0,16185,22659.2
2020-01-07,QN51,0.0,5055,10111.51
2020-01-08,QN51,0.0,4871,9742.24
2020-01-09,QN51,1.0,13443,18821.29
2020-01-10,QN51,0.0,1983,3966.41
2020-01-11,QN51,0.0,6314,12629.82
2020-01-12,QN51,0.0,6712,13425.49
2020-01-13,QN51,0.0,6527,13054.5
2020-01-14,QN51,0.0,2030,4061.84
2020-01-15,QN51,1.0,12257,17161.17
2020-01-16,QN51,3.0,5253,4728.47
